Date,Inflation,Population,GDP,Imports,Exports,Agriculture,Industry,Services,USDPHP,Nominal GDP,Imports_PHPMN,Exports_PHPMN,TotalTrade,TotalTrade_PHPMN,NominalGDP_disagg,Pop_disagg,Revenues,Tax Revenues,BIR,BOC,Other Offices,Non-tax Revenues,BTr Income,Fees and Charges,CARP,Income from Malampaya,Privatization,Grants,Economic Support Fund,Other non-tax,Sale of Assets,Marcos Wealth,Expenditures,Allotment to LGUs,Interest Payments,Tax Expenditures,Subsidy,Equity,Net Lending,NG Disbursements,COVID-19,TRAIN,CREATE,FIST,BIR_COMM
5/1/97,5,0,0,2954.37,1982.88,0,0,0,26.3721,0,77912.94108,52292.70965,4937.25,130205.6507,210076.03931168735,70561226.93638033,28345,26847,19933,6780,134,1498,555,920,0,0,22,1,0,0,0,0,40770,5920,4652,495,363,94,150,29096,0,0,0,0,0
6/1/97,5.6,0,1503061.59,3032.34,2129.08,15.27,33.08,51.66,26.3761,665182,79981.30307,56156.82699,5161.42,136138.1301,226843.54143421893,70536058.96326134,35773,32167,24948,7013,206,3606,2027,1511,0,0,64,4,0,0,0,0,36869,6179,5023,431,263,164,-154,24963,0,0,0,0,0
7/1/97,5.6,0,0,3169.2,2067.14,0,0,0,27.6679,0,87685.10868,57193.42281,5236.34,144878.5315,227428.72858995615,70514486.41487361,43887,36960,28857,7912,191,6927,5604,1251,0,0,65,7,0,0,0,0,42002,5920,5862,291,558,17,44,29310,0,0,0,0,0
8/1/97,5.4,0,0,3327.94,2257.97,0,0,0,29.3305,0,97610.14417,66227.38909,5585.91,163837.5333,230157.9029851655,70496509.29121718,38452,36634,28984,7566,84,1818,1208,601,0,0,0,9,0,0,0,0,36358,6747,8061,374,360,17,260,20539,0,0,0,0,0
9/1/97,5.7,0,1503253.17,2956.48,2337.47,13.28,35.36,51.36,32.3945,678133,95773.69136,75721.17192,5293.95,171494.8633,236545.7549433804,70482127.59,41861,31875,21689,9737,449,9986,7562,1267,0,0,1114,43,0,0,0,0,45098,5273,10027,122,764,944,108,27860,0,0,0,0,0
10/1/97,5.9,0,0,3413.8,2326.05,0,0,0,34.4639,0,117652.8618,80164.7546,5739.85,197817.6164,238218.3488051464,70471341.31809814,42100,38494,29790,8400,304,3606,1925,1605,0,0,14,62,0,0,0,0,49023,8095,8358,209,468,140,198,31555,0,0,0,0,0
11/1/97,6.7,0,0,2945.29,2308.43,0,0,0,34.5178,0,101664.9312,79681.92505,5253.719999999999,181346.8563,215761.8585798345,70464150.46863556,35545,29876,21857,7735,284,5669,2406,397,0,0,2772,94,0,0,0,0,41166,4765,5158,525,1158,22,163,29375,0,0,0,0,0
12/1/97,6.5,72190242,1717089.46,2792.73,2230.56,16.65,32.97,50.38,37.1706,793435,103807.4497,82911.25354,5023.29,186718.7032,261401.1419929275,72539791.58,54447,41183,28902,11992,289,13264,9725,850,0,0,2657,32,0,0,0,0,44902,4375,6114,3207,344,45,459,30358,0,0,0,0,0
1/1/98,6.6,0,0,2837.9,2114.81,0,0,0,42.661,0,121067.6519,90219.90941,4952.71,211287.5613,274067.7822613035,72353969.57876417,44190,42393,35086,7133,174,1797,787,979,31,0,0,0,0,0,0,0,42320,6949,8072,0,29,31,-59,27298,0,0,0,0,0
2/1/98,7.7,0,0,2585.23,2227.2,0,0,0,40.4143,0,104480.2608,90010.72896,4812.43,194490.9898,254158.4648001375,72311258.03647783,27490,25063,19304,5462,297,2427,529,1623,23,0,12,240,0,0,0,0,34825,5356,6884,0,308,0,238,22039,0,0,0,0,0
