Date,BIR,BOC,Other Offices,BTr Income,Fees and Charges,CARP,Income from Malampaya,Privatization,Grants,Economic Support Fund,Other non-tax,Sale of Assets,Marcos Wealth,Allotment to LGUs,Interest Payments,Tax Expenditures,Subsidy,Equity,Net Lending,NG Disbursements
2/1/2016,94837,27035,2064,5834,2953,0,1047.33,0,12,0,5169.67,0,0,42204,21280,219,2658,6,706,106504.87
3/1/2016,105683,32383,1437,11150,2636,0,943.548,40,3,0,3524.452,0,0,39020,35749,345,3889,5138,2767,145280
4/1/2016,177656,32712,1397,27972,3675,0,988.974,60,2,0,2170.026,0,0,35849,14765,1177,4825,199,215,134581
5/1/2016,151575,32070,1432,5728,3136,0,1448.579,0,5,0,4364.421,0,0,35725,18658,967,7478,17,152,154418
6/1/2016,124018,35268,1473,5084,2583,0,889.505,345,1,0,5923.495,0,0,36877,17666,2479,16050,60,220,147427
7/1/2016,117448,30987,1528,9061,3816,0,1343.179,76,12,0,5978.821,0,0,35801,40020,104,35258,0,32,109702
8/1/2016,157468,33069,1438,5818,2536,0,1190.769,24,0,0,8025.231,0,0,36290,23442,901,7402,7,-1148,110068
9/1/2016,112996,33326,1450,7708,3854,0,1166.296,1,0,0,5458.704,0,0,35977,32602,693,3119,41,741,168114
10/1/2016,121893,33365,2120,4858,4374,0,872.434,17,13,0,7129.566,0,0,38987,16054,879,1514,11,763,118779
11/1/2016,156772,40227,759,4188,4394,0,1041.93,0,7,0,1823.07,0,0,36177,19551,5379,14234,16,172,152828
12/1/2016,117216,34840,552,6406,2500,0,1100.065,94,18,0,2599.935,0,0,36368,19073,2491,5066,3157,10647,206753
1/1/2017,147393,35943,1327,8005,3344,0,1025,8,2,0,3267,0,0,40844,42353.453,124,1266,0,-278,113783
2/1/2017,105862,30854,2261,5342,3345,0,967,4,6,0,3197,0,0,40792,24230,651,9993,0,-823,100719
3/1/2017,117149,37333,1831,9584,3284,0,1502,30,2,0,9522,0,0,40773,31272,968,8407,0,-634,160922
4/1/2017,187670,31142,1265,7123,2113,0,422,5,11,0,6125,0,0,49670,13483,1074,2150,48,115,116539
5/1/2017,158694,39592,2450,17977,4186,0,1289,196,6,0,3861,0,0,46519,20966,1436,4097,6,160,188488
6/1/2017,131245,35417,1475,4691,2847,0,1012,8,4,0,3145,0,0,55084,19273,484,32306,3186,132,160252
7/1/2017,138080,34994,1582,8467,2762,0,1773,16,0,0,6947,0,0,42712,44626,568,16867,22,3,140335
8/1/2017,171654,38289,2268,6192,3870,0,1623.53,256,8,0,6247.47,0,0,43690,26370,281,6085,15,2,125157
9/1/2017,141431,40261,1462,7300,3748,0,1539,1,0,0,4349,0,0,41871,26397,813,2454,4,-4136,169580
10/1/2017,142542,42915,1036,7581,3357,0,2129,289,0,0,5219,0,0,41595,20434,413,10275,144,2195,151812
11/1/2017,179355,46366,2533,4287,5339,0,1827,4,0,0,3781,0,0,41839,20583,615,5961,1280,3151,178686
12/1/2017,151246,45078,683,13356,2576,0,1500,13,0,0,8640,0,0,44761,20553.82,904,31227,653,-4124,236265
1/1/2018,175612,40831,1627,8080,3657,0,1772.893,17.13,0,0,7301,0,0,43305,43516,1441,922,0,20,139503
2/1/2018,116641,43716,2525,5870,5380,0,1601.576,9,0,0,2792,0,0,59162,26097,354,9126,31,-1078,136512
3/1/2018,130827,45251,1632,8816,3333,0,1579.667,0,0,0,10921,0,0,46272,27549,2584,35240,2000,817,198591
4/1/2018,232618,46794,1535,14215,3878,0,1775.26,209,0,0,6534,0,0,58836,23172,2513,3874,18,25,172805
5/1/2018,172032,52747,2114,21378,3580,0,2124.986,117,0,0,4899,0,0,48657,21111,574,3832,0,1412,216279
6/1/2018,136780,50049,1406,7789,2951,0,1765.118,14029,22,0,9408,0,0,46427,24065,744,14750,538,174,191789
7/1/2018,163999,52144,1557,11757,4369,0,2265.949,23,0,0,5628,0,0,46356,44841,1524,32470,484,1322,201129
8/1/2018,185091,52012,2517,5413,4924,0,1988.729,628,0,0,4301,0,0,45939,28301,2272,5037,6,3067,174840
